name,total_reviews,total_citedin
Angus W Thomson,36,555
Laurence Zitvogel,34,718
Bart N Lambrecht,29,1069
Ralph M Steinman,27,4924
Thomas Bieber,22,101
Nina Bhardwaj,19,329
Carl G Figdor,19,745
Helen C O'Neill,19,128
Paola Ricciardi-Castagnoli,18,191
Yvette van Kooyk,18,661
Yechiel Becker,17,34
Shizuo Akira,16,1020
Bali Pulendran,16,944
Alessandro Moretta,15,459
Caetano Reis e Sousa,15,697
Jacques Banchereau,14,1831
P R Bergstresser,14,66
Richard D Granstein,14,66
Peter Brossart,13,112
Derek N J Hart,13,256
D Schmitt,13,5
Marco Colonna,12,807
Teunis B H Geijtenbeek,12,436
Patrick G Holt,12,101
Alexis M Kalergis,12,66
Karolina Palucka,12,734
Maria Rescigno,12,100
Luigina Romani,12,213
J M Austyn,11,101
Alexander H Enk,11,161
Steffen Jung,11,467
Miriam Merad,11,789
Akira Takashima,11,22
Mary Jo Wick,11,134
Akiko Iwasaki,10,1154
Tsuneyasu Kaisho,10,28
Stella C Knight,10,72
Anna Karolina Palucka,10,280
Lars Ronnblom,10,269
Georg Stingl,10,50
Ranjeny Thomas,10,143
Li Wu,10,393
Luciano Adorini,9,238
Filippo Belardelli,9,202
Yuri V Bobryshev,9,144
Anthony L Cunningham,9,124
Richard L Edelson,9,43
Ian Kimber,9,57
Shigeo Koido,9,55
Antonio Lanzavecchia,9,665
Simone Mocellin,9,56
Michael A Morse,9,27
Frank O Nestle,9,508
Gwendalyn J Randolph,9,596
Jose A Villadangos,9,352
C Garrison Fathman,8,25
Francesca Granucci,8,82
Kayo Inaba,8,95
Ronald Jaffe,8,30
Kenji Kabashima,8,17
Pawel Kalinski,8,356
Christian Kurts,8,75
Yong-Jun Liu,8,1033
Heidrun Moll,8,78
Muriel Moser,8,182
Natalija Novak,8,29
Daniel N Sauder,8,73
Gerold Schuler,8,134
Ken Shortman,8,972
Silvano Sozzani,8,137
Mark C Udey,8,43
Gosse J Adema,7,74
Sebastian Amigorena,7,430
Carlos Ardavin,7,260
Brian J Czerniecki,7,75
Edgar G Engleman,7,32
Guido Ferlazzo,7,117
