pubmed_id,n
9521319,191
10837075,98
12615891,98
17898760,93
17620361,82
4573839,75
10364556,70
11560993,65
11913066,63
17620362,62
8145033,60
15771572,56
17204652,56
12486105,53
11561001,52
10426316,51
17170756,50
1910679,47
19286519,46
11120766,45
11208863,45
20133564,44
12932356,43
15549123,43
19008445,43
11773639,42
12871639,42
17922015,42
20479116,42
9091583,41
11086035,41
11509172,41
15454922,41
16322423,41
18854153,41
12871640,40
18789730,40
15653504,39
17627284,39
19029989,39
20479115,39
9500607,38
20008528,38
20479117,38
17569825,37
17922016,37
19349986,37
11067871,36
15024047,36
15322536,36
15485630,36
16648838,36
17873879,36
20351058,36
1460426,35
10024247,35
22136168,35
16444257,34
19237601,34
19733097,34
19733489,34
20525992,34
10721995,33
18086862,33
20193009,33
20479118,33
15894281,32
17873860,32
18469816,32
12196292,31
16497588,31
16691244,31
9927520,30
12415265,30
14676299,30
15340416,30
16680143,30
17417641,30
21029863,30
9510252,29
11276208,29
11713464,29
11748283,29
12840763,29
14512632,29
15342370,29
17200410,29
17620363,29
18086861,29
19197294,29
23516985,29
9927689,28
11244051,28
11711679,28
12055625,28
14976262,28
18641647,28
20193011,28
1279441,27
15308107,27
