name,total_reviews,total_citedin,max_citedin,max_citedin_pmid,max_citedin_year,year_start,year_last
Angus W Thomson,36,555,99,14704765,2004,1996,2014
Laurence Zitvogel,34,718,129,17979839,2007,1998,2016
Bart N Lambrecht,29,1069,153,18301423,2008,2001,2015
Ralph M Steinman,27,4924,2545,9521319,1998,1988,2011
Thomas Bieber,22,101,15,18241684,2008,1992,2011
Nina Bhardwaj,19,329,88,15596797,2004,1990,2017
Carl G Figdor,19,745,198,15122249,2004,1996,2016
Helen C O'Neill,19,128,27,15809288,2005,1994,2014
Paola Ricciardi-Castagnoli,18,191,33,10322296,1999,1996,2010
Yvette van Kooyk,18,661,175,12949494,2003,2001,2013
Yechiel Becker,17,34,12,12803463,2003,1987,2004
Shizuo Akira,16,1020,471,16424890,2006,2001,2011
Bali Pulendran,16,944,173,16497593,2006,2001,2015
Alessandro Moretta,15,459,139,12461568,2002,2002,2009
Caetano Reis e Sousa,15,697,247,16691244,2006,1998,2016
Jacques Banchereau,14,1831,1201,10837075,2000,1994,2011
P R Bergstresser,14,66,16,1972173,1990,1980,1996
Richard D Granstein,14,66,19,7718082,1995,1990,2013
Peter Brossart,13,112,43,17096016,2006,2001,2013
Derek N J Hart,13,256,171,9345009,1997,1994,2009
D Schmitt,13,5,3,8144188,1993,1984,2001
Marco Colonna,12,807,425,15549123,2004,2003,2015
Teunis B H Geijtenbeek,12,436,267,19521399,2009,2003,2011
Patrick G Holt,12,101,24,20394979,2010,1993,2011
Alexis M Kalergis,12,66,19,18687294,2008,2005,2016
Karolina Palucka,12,734,308,22437871,2012,1999,2013
Maria Rescigno,12,100,31,21034972,2010,2002,2015
Luigina Romani,12,213,128,14661066,2003,2002,2011
J M Austyn,11,101,37,3315976,1987,1987,1998
Alexander H Enk,11,161,58,11429324,2001,1995,2009
Steffen Jung,11,467,180,24854589,2014,1999,2014
Yong-Jun Liu,11,1275,399,15771572,2005,1995,2010
Miriam Merad,11,789,277,23516985,2013,2005,2013
Akira Takashima,11,22,8,25632045,2015,1992,2015
Mary Jo Wick,11,134,43,18837781,2008,1997,2008
Akiko Iwasaki,10,1154,919,15454922,2004,2003,2012
Tsuneyasu Kaisho,10,28,15,23142133,2012,2005,2014
Stella C Knight,10,72,26,23352670,2013,1989,2016
Anna Karolina Palucka,10,280,76,15142523,2004,2002,2008
Lars Ronnblom,10,269,73,18490415,2008,2001,2013
Georg Stingl,10,50,29,22217741,2012,1980,2012
Ranjeny Thomas,10,143,32,12906261,2003,1996,2014
Li Wu,10,393,200,17063186,2006,1998,2016
Luciano Adorini,9,238,50,12480260,2002,2000,2008
Filippo Belardelli,9,202,55,23787994,2013,2002,2014
Yuri V Bobryshev,9,144,51,16360317,2005,2000,2015
